Instance,T2M_Actual,T2M_Predicted
200,18.91,13.54738311426337
201,20.74,14.855862310406703
202,13.59,9.738509678187013
203,13.64,9.774692372893732
204,9.31,6.672470954006609
205,20.92,14.984652153274567
206,16.15,11.57318023278707
207,24.5,17.54875596669811
208,19.86,14.225605286629353
209,19.58,14.025590018718031
210,9.37,6.715695305275278
211,10.17,7.288931261293776
212,11.22,8.04105913688123
213,17.44,12.496431889158336
214,12.43,8.90735621055299
215,22.84,16.358096561491536
216,23.57,16.88230177115148
217,17.54,12.568207361090902
218,21.62,15.486037752470796
219,20.91,14.977002331200227
220,7.900000000000001,5.662087639179938
221,18.18,13.023995183978487
222,22.36,16.016036599380282
223,12.02,8.613709969119077
224,13.91,9.966994022554033
225,12.500000000000002,8.95844952776541
226,11.08,7.940181994145288
227,21.52,15.417928467164364
228,21.75,15.58108136185364
229,13.54,9.702459955151951
230,9.08,6.508162680849491
231,20.78,14.885105840099378
232,15.54,11.134400153220474
233,20.18,14.454959039027319
234,24.34,17.435508362212392
235,19.48,13.954310254299358
236,21.9,15.689789174902645
237,12.73,9.12268624733681
238,20.29,14.537170640891816
239,16.24,11.636354871601334
240,20.14,14.426141767923342
241,9.67,6.930695096729327
242,13.55,9.71006131735452
243,21.43,15.34916168407148
244,10.66,7.640120306224797
245,21.44,15.358095578626815
246,12.92,9.258732530008125
247,20.43,14.633912378036266
248,13.02,9.330117459171548
249,13.779999999999998,9.874449879040156
250,9.4,6.7372511177521694
251,6.93,4.96749142913503
252,18.83,13.4892529503328
253,15.06,10.792444571979264
254,20.04,14.354876558964992
255,8.19,5.8700912889930015
256,23.14,16.572802735880007
257,18.1,12.969602397910549
258,11.55,8.277182946372271
259,5.86,4.200457041147182
260,15.79,11.313410513211382
261,14.81,10.61192028322096
262,17.21,12.330421871847234
263,23.8,17.045702596834598
264,12.76,9.144043297945629
265,12.19,8.735729011403496
266,18.03,12.916630278024396
267,6.45,4.6235126621238
268,21.19,15.17751529018988
269,20.38,14.598943771727884
270,12.799999999999999,9.172558671726817
271,11.82,8.47060924992488
272,25.69,18.399350129031617
273,15.500000000000002,11.105979863423443
274,23.19,16.609535749589348
275,13.82,9.902852865894213
276,16.14,11.565156500893064
277,13.9,9.961134604653045
278,17.04,12.208762305100192
279,11.91,8.534984982997072
280,18.8,13.467387258863573
281,5.89,4.22204712445565
282,16.51,11.828660384156997
283,12.59,9.02166862676916
284,21.72,15.558838114305114
285,20.48,14.672088069067
286,14.27,10.225381563791728
287,10.31,7.38874503044729
288,23.19,16.610985243480904
289,19.67,14.092322431687432
290,12.42,8.900375676005067
291,19.2,13.753751164785246
292,17.24,12.351235221542973
293,19.76,14.158987501221677
