Instance,T2M_Actual,T2M_Predicted
587,20.67,14.816567222393807
588,17.19,12.314392568899544
589,15.67,11.223634412291663
590,18.57,13.308684622819621
591,15.209999999999999,10.897914182756482
592,23.69,16.96992247423824
593,22.16,15.881848996191223
594,6.73,4.822774224781421
595,20.41,14.618174847661477
596,20.18,14.464860913389654
597,10.15,7.272930049700864
598,5.2,3.7273471533766065
599,21.89,15.686664787736666
600,21.34,15.293011628033888
601,22.53,16.140040093799445
602,24.09,17.25939368657322
603,5.46,3.9133531585355765
604,21.85,15.650573984058544
605,10.78,7.726148525141034
606,16.19,11.595712881412013
607,19.77,14.16440009741172
608,10.09,7.231819556621959
609,21.25,15.232212091407886
610,21.57,15.452908901428508
611,17.75,12.718263472022082
612,12.4,8.883045604970329
613,20.88,14.962405364582326
614,11.55,8.277555456839664
615,20.47,14.661888334063045
616,16.53,11.846200714771935
617,13.54,9.701138714206053
618,13.32,9.543498506572828
619,22.24,15.938607970122064
620,12.76,9.142584986184774
621,20.19,14.471456549783762
622,21.96,15.732887218448585
623,16.55,11.861101711411782
624,20.78,14.893078036527646
625,23.57,16.890100095944216
626,20.16,14.450129857405686
627,18.49,13.241998720668699
628,22.48,16.10788525677536
629,22.23,15.926176532015857
630,17.97,12.877643367315173
631,21.18,15.177282197356595
632,21.52,15.424735721411267
633,10.16,7.281323387845611
634,19.85,14.216928713960563
635,9.06,6.49278128963829
636,19.84,14.220896397808591
637,22.52,16.136249355545207
638,23.45,16.79426429693907
639,7.750000000000001,5.554492315997544
640,9.16,6.564603265587932
641,14.920000000000002,10.689153701327854
642,9.43,6.757477955840157
643,13.990000000000002,10.023993196961701
644,12.35,8.8509588702506
645,20.86,14.946490816975125
646,9.21,6.598776683621392
647,20.55,14.727535476716518
648,21.85,15.660319321922955
649,7.460000000000001,5.347574466006113
650,16.28,11.66229461003691
651,18.85,13.50926219075821
652,13.21,9.467797682060716
653,9.29,6.657418012865136
654,12.23,8.765573662516971
655,18.15,13.008657266944102
656,22.82,16.346562716237607
657,12.850000000000001,9.204880893483708
658,23.44,16.79758938077773
659,24.08,17.24631263751261
660,21.04,15.077373588400912
661,10.29,7.373617314131821
662,20.16,14.449959109034719
663,9.92,7.109272704778407
664,20.59,14.75743547121859
665,6.85,4.909611629343505
666,22.67,16.24636494881363
667,21.48,15.395497761963668
668,23.64,16.929120570288934
669,10.86,7.78199833229404
670,12.08,8.656795860032766
671,10.02,7.180748690873092
672,10.3,7.382558422004712
673,22.14,15.862851945962706
674,13.1,9.388080513247017
675,12.2,8.74297216034731
676,22.36,16.023850017143065
677,9.28,6.649485801614247
678,12.78,9.158891261071375
679,15.229999999999999,10.912172060948969
680,23.31,16.69773775370358
681,18.23,13.06379233372142
682,19.11,13.693426472832043
683,24.09,17.259192496758732
684,20.17,14.44662957625385
685,25.78,18.466867964288532
686,11.2,8.026438722192795
687,20.66,14.806989137817542
688,13.159999999999998,9.431035988551448
689,20.54,14.719280512901948
690,22.3,15.977143269883626
691,12.01,8.60520894748039
692,21.47,15.375731800062583
693,12.500000000000002,8.955539311252764
694,13.990000000000002,10.023994351007671
695,15.16,10.86450269153136
696,14.950000000000001,10.709894925648848
697,21.61,15.488194530910421
698,9.09,6.513856055774892
699,19.09,13.682063624794662
700,20.49,14.685915416097476
701,22.18,15.893680947838325
702,21.38,15.323235530152024
703,20.14,14.42804184058963
704,20.15,14.442477425246267
705,10.33,7.402114213457268
706,22.33,16.000488591058097
707,20.38,14.606243872905878
708,10.39,7.444410859552014
709,13.32,9.544025992457756
710,15.9,11.391307455858476
711,25.56,18.309145389290645
