DATE,DISTRICT,LAT,LON,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
3/18/1981,Kathmandu,27.7,85.3,0.02,83.82,5.04,37.74,15.79,0.76,23.86,9.65,14.21,15.08,2.41,6.13,0.4,5.73,2.4,5.54,0.54,5.0
3/19/1981,Kathmandu,27.7,85.3,0.27,83.99,5.46,38.53,16.75,2.15,23.75,11.38,12.37,16.46,2.31,4.78,0.87,3.91,2.37,4.09,1.29,2.8
3/20/1981,Kathmandu,27.7,85.3,0.42,84.01,5.87,40.71,17.02,3.18,24.12,12.24,11.88,17.82,2.15,4.94,0.49,4.45,2.22,4.56,0.63,3.93
3/21/1981,Kathmandu,27.7,85.3,8.83,83.96,7.13,52.03,16.19,5.69,22.44,11.42,11.02,16.65,2.36,5.48,0.61,4.87,2.52,4.98,0.87,4.11
3/22/1981,Kathmandu,27.7,85.3,0.6,83.7,5.82,45.36,15.13,2.71,22.24,10.25,11.99,14.99,2.75,5.74,1.06,4.68,3.16,5.73,1.43,4.3
3/23/1981,Kathmandu,27.7,85.3,0.0,83.55,3.94,31.96,14.51,-2.27,21.5,8.4,13.1,14.23,2.59,5.21,0.8,4.41,2.81,5.14,0.76,4.38
3/24/1981,Kathmandu,27.7,85.3,0.01,83.8,4.15,32.7,15.0,-1.44,21.88,9.65,12.23,14.61,2.4,4.82,0.08,4.74,2.48,4.43,0.17,4.25
3/25/1981,Kathmandu,27.7,85.3,1.24,83.97,4.56,37.48,14.36,-0.37,21.78,7.01,14.77,14.99,2.68,4.23,0.78,3.45,3.08,4.27,1.2,3.07
3/26/1981,Kathmandu,27.7,85.3,1.72,83.84,6.27,54.95,13.34,3.95,18.52,9.5,9.03,13.86,2.21,4.74,0.26,4.48,2.24,4.03,0.48,3.54
3/27/1981,Kathmandu,27.7,85.3,0.23,83.68,6.28,52.19,14.14,3.93,20.06,8.2,11.86,14.64,2.18,5.07,0.41,4.66,2.25,4.47,0.6,3.87
3/28/1981,Kathmandu,27.7,85.3,0.0,83.86,5.58,42.23,15.61,2.28,22.49,9.67,12.82,15.61,2.43,5.49,0.67,4.82,2.41,4.61,0.79,3.82
3/29/1981,Kathmandu,27.7,85.3,0.0,84.06,5.62,42.0,15.85,2.55,23.25,9.76,13.49,16.1,2.38,4.91,0.65,4.26,2.36,3.99,0.77,3.22
3/30/1981,Kathmandu,27.7,85.3,2.77,84.02,6.3,46.11,16.16,4.2,22.84,9.96,12.88,16.5,2.49,4.88,0.34,4.54,2.52,4.17,0.39,3.78
3/31/1981,Kathmandu,27.7,85.3,5.6,83.77,7.07,54.05,15.42,5.78,20.83,10.5,10.33,16.2,2.2,4.09,0.5,3.59,2.5,3.9,0.44,3.46
4/1/1981,Kathmandu,27.7,85.3,1.48,83.6,6.47,49.34,15.45,4.53,22.06,10.46,11.6,15.88,2.72,5.54,0.42,5.12,2.84,5.12,0.33,4.79
4/2/1981,Kathmandu,27.7,85.3,0.47,83.86,5.05,35.56,16.74,1.17,24.1,10.29,13.81,16.36,2.42,5.15,0.23,4.91,2.42,4.6,0.45,4.15
4/3/1981,Kathmandu,27.7,85.3,0.04,83.82,4.5,31.23,17.0,-0.35,24.52,10.19,14.33,16.83,2.7,5.16,0.66,4.5,2.77,4.49,0.9,3.59
4/4/1981,Kathmandu,27.7,85.3,0.01,83.68,4.93,32.74,17.65,0.77,25.41,10.76,14.65,17.73,3.31,6.48,1.22,5.26,3.82,6.81,1.51,5.3
4/5/1981,Kathmandu,27.7,85.3,0.01,83.55,4.24,28.97,17.16,-1.32,25.25,10.12,15.13,17.56,3.07,5.69,0.41,5.28,3.55,5.64,0.68,4.96
4/6/1981,Kathmandu,27.7,85.3,0.0,83.67,3.56,24.9,16.83,-3.43,24.58,11.07,13.5,16.66,2.65,5.02,0.95,4.08,2.72,4.2,0.85,3.35
4/7/1981,Kathmandu,27.7,85.3,0.0,83.73,3.46,22.79,17.8,-3.72,25.54,11.21,14.33,17.14,2.6,5.51,0.1,5.41,2.52,4.63,0.14,4.48
4/8/1981,Kathmandu,27.7,85.3,0.0,83.84,3.49,22.8,17.97,-3.56,25.52,11.63,13.89,17.24,2.58,5.5,0.46,5.03,2.55,4.63,0.66,3.98
4/9/1981,Kathmandu,27.7,85.3,0.0,83.75,4.07,25.74,18.44,-1.67,25.8,11.71,14.1,18.03,2.56,5.66,0.14,5.52,2.6,4.91,0.19,4.71
4/10/1981,Kathmandu,27.7,85.3,0.01,83.66,4.01,23.42,19.73,-1.91,28.27,12.09,16.18,19.17,2.9,6.05,0.66,5.38,3.09,5.74,0.83,4.92
4/11/1981,Kathmandu,27.7,85.3,4.68,83.76,5.2,32.44,18.64,1.36,25.75,12.71,13.04,18.48,2.7,5.31,1.19,4.12,2.83,4.49,1.63,2.86
4/12/1981,Kathmandu,27.7,85.3,9.35,83.86,7.37,47.86,18.02,6.07,25.13,11.72,13.41,18.12,2.74,5.31,0.48,4.83,2.92,4.47,0.69,3.78
4/13/1981,Kathmandu,27.7,85.3,2.05,84.0,8.38,54.31,18.06,8.0,24.6,13.01,11.59,18.59,2.47,5.42,0.26,5.17,2.43,4.42,0.56,3.86
4/14/1981,Kathmandu,27.7,85.3,3.08,83.95,7.71,47.54,18.86,6.9,25.92,11.84,14.08,19.46,2.24,4.81,0.07,4.73,2.09,3.84,0.13,3.71
4/15/1981,Kathmandu,27.7,85.3,3.34,83.95,8.7,54.05,18.72,8.82,24.88,12.93,11.95,19.69,2.58,5.04,0.94,4.11,2.65,4.11,1.25,2.86
4/16/1981,Kathmandu,27.7,85.3,21.25,83.78,10.75,67.09,18.6,11.91,23.81,14.07,9.74,19.48,2.17,4.65,0.42,4.24,2.21,4.22,0.59,3.63
4/17/1981,Kathmandu,27.7,85.3,6.93,83.54,8.71,56.71,17.89,8.68,24.09,12.46,11.62,18.83,2.72,4.62,1.07,3.56,3.03,4.19,1.0,3.2
4/18/1981,Kathmandu,27.7,85.3,3.21,83.66,8.79,60.35,17.08,8.89,21.25,12.22,9.03,17.05,3.24,6.79,0.62,6.18,3.81,7.03,0.75,6.28
4/19/1981,Kathmandu,27.7,85.3,0.46,83.95,7.57,53.45,16.7,6.52,23.13,10.92,12.22,17.03,2.13,5.14,0.2,4.93,2.37,4.57,0.49,4.08
4/20/1981,Kathmandu,27.7,85.3,0.18,84.03,8.18,55.5,17.35,7.48,24.41,10.04,14.37,17.96,2.37,5.64,0.35,5.29,2.22,4.77,0.49,4.28
4/21/1981,Kathmandu,27.7,85.3,0.01,83.95,7.8,49.88,18.26,7.16,24.6,12.62,11.98,18.82,2.3,5.21,0.4,4.81,2.16,4.14,0.53,3.61
4/22/1981,Kathmandu,27.7,85.3,0.01,83.9,7.96,48.18,19.14,7.61,25.29,13.32,11.97,19.51,2.37,5.11,0.22,4.89,2.36,4.25,0.27,3.98
4/23/1981,Kathmandu,27.7,85.3,0.21,84.02,7.08,41.81,19.56,5.95,26.11,13.26,12.85,20.11,2.46,4.88,0.31,4.57,2.51,4.14,0.41,3.73
4/24/1981,Kathmandu,27.7,85.3,0.01,84.14,5.56,32.68,19.7,2.57,26.93,12.56,14.37,19.71,2.8,5.27,0.65,4.62,2.99,4.98,0.93,4.05
4/25/1981,Kathmandu,27.7,85.3,0.0,84.15,4.48,26.36,19.69,-0.33,26.91,12.15,14.76,19.34,2.63,5.01,0.52,4.49,2.77,4.49,0.64,3.85
4/26/1981,Kathmandu,27.7,85.3,1.31,84.09,4.83,28.6,19.55,0.64,26.37,13.46,12.91,19.24,2.57,5.09,0.48,4.61,2.66,4.37,0.63,3.74
4/27/1981,Kathmandu,27.7,85.3,0.11,84.08,5.29,31.13,19.66,1.84,26.38,13.54,12.84,19.75,2.37,4.51,0.53,3.98,2.35,3.65,0.69,2.95
4/28/1981,Kathmandu,27.7,85.3,0.59,84.02,6.14,34.35,20.46,3.85,27.44,13.71,13.73,20.64,2.44,4.85,0.46,4.39,2.47,4.08,0.56,3.52
4/29/1981,Kathmandu,27.7,85.3,0.65,83.92,6.62,35.82,20.98,4.96,27.63,14.6,13.02,21.26,2.47,5.35,0.08,5.28,2.53,4.75,0.11,4.65
4/30/1981,Kathmandu,27.7,85.3,0.34,84.03,6.98,40.68,19.78,5.72,26.43,13.6,12.83,20.12,2.47,5.38,0.08,5.3,2.56,4.68,0.11,4.57
5/1/1981,Kathmandu,27.7,85.3,1.14,84.04,6.83,38.01,20.54,5.53,26.97,13.56,13.41,21.26,2.5,5.01,0.23,4.78,2.64,4.49,0.26,4.23
5/2/1981,Kathmandu,27.7,85.3,0.58,83.98,7.03,36.43,21.67,5.87,28.04,15.5,12.54,22.21,2.36,4.54,0.8,3.74,2.5,3.96,1.4,2.56
5/3/1981,Kathmandu,27.7,85.3,0.46,84.09,8.84,49.35,20.47,9.06,26.41,15.59,10.82,21.6,2.29,5.31,0.35,4.96,2.43,4.48,0.81,3.67
5/4/1981,Kathmandu,27.7,85.3,0.52,84.11,10.05,54.14,21.05,10.84,27.6,15.2,12.4,22.35,2.24,5.63,0.19,5.44,2.3,4.92,0.32,4.6
5/5/1981,Kathmandu,27.7,85.3,0.58,84.06,10.42,56.47,20.92,11.52,26.04,16.31,9.72,21.96,1.85,4.21,0.29,3.92,1.87,3.34,0.34,2.99
5/6/1981,Kathmandu,27.7,85.3,2.33,84.04,10.77,64.21,19.38,12.01,23.38,16.73,6.66,19.92,1.76,3.74,0.49,3.25,1.94,3.32,1.0,2.32
5/7/1981,Kathmandu,27.7,85.3,1.25,83.97,9.96,56.93,20.06,10.67,24.07,16.66,7.4,20.75,2.12,4.72,0.04,4.68,2.05,4.4,0.19,4.21
5/8/1981,Kathmandu,27.7,85.3,0.44,83.93,10.06,60.75,19.17,10.91,23.82,14.91,8.92,20.51,1.74,3.39,0.26,3.13,1.64,2.64,0.45,2.19
5/9/1981,Kathmandu,27.7,85.3,3.79,83.8,9.55,52.38,20.7,10.16,27.21,14.29,12.93,22.13,2.46,4.59,0.24,4.36,2.53,3.98,0.34,3.64
5/10/1981,Kathmandu,27.7,85.3,0.43,83.68,9.37,48.88,21.49,10.01,27.19,16.35,10.84,22.82,2.35,4.94,0.26,4.68,2.47,4.57,0.24,4.32
5/11/1981,Kathmandu,27.7,85.3,1.29,83.66,8.43,43.98,21.5,8.4,27.56,15.96,11.61,22.8,2.38,5.45,0.37,5.08,2.45,5.08,0.37,4.71
5/12/1981,Kathmandu,27.7,85.3,12.07,83.54,9.0,52.17,19.76,9.3,25.48,14.21,11.27,20.93,2.05,4.71,0.17,4.54,2.0,4.09,0.13,3.95
5/13/1981,Kathmandu,27.7,85.3,0.93,83.48,8.41,43.1,21.75,8.36,28.58,14.92,13.66,22.5,2.64,5.42,0.31,5.11,2.7,4.67,0.42,4.25
5/14/1981,Kathmandu,27.7,85.3,2.18,83.63,8.97,45.28,22.03,9.36,28.23,15.84,12.39,22.92,2.52,4.98,0.42,4.56,2.52,4.3,0.6,3.7
5/15/1981,Kathmandu,27.7,85.3,3.39,83.41,10.05,50.74,21.97,10.93,28.73,15.73,12.99,23.23,2.75,5.43,0.83,4.59,3.03,5.02,1.43,3.59
5/16/1981,Kathmandu,27.7,85.3,29.59,83.45,10.52,58.78,20.32,11.39,27.07,14.81,12.26,21.57,2.76,5.53,0.4,5.13,3.24,5.11,0.57,4.54
5/17/1981,Kathmandu,27.7,85.3,2.04,83.45,8.84,47.21,21.06,8.98,27.21,14.91,12.3,21.32,2.62,5.09,0.38,4.71,2.79,4.47,0.52,3.95
5/18/1981,Kathmandu,27.7,85.3,0.62,83.53,8.65,44.4,21.74,8.58,28.09,16.08,12.02,22.28,2.54,5.06,0.36,4.7,2.69,4.24,0.49,3.76
5/19/1981,Kathmandu,27.7,85.3,0.05,83.53,10.36,52.49,21.93,11.16,28.28,15.72,12.56,23.12,2.35,4.73,0.67,4.06,2.34,3.8,0.78,3.02
5/20/1981,Kathmandu,27.7,85.3,1.38,83.56,11.87,58.16,22.46,13.52,28.18,16.79,11.38,24.34,2.54,4.66,0.97,3.7,2.85,4.18,1.53,2.65
5/21/1981,Kathmandu,27.7,85.3,8.98,83.67,12.75,67.96,21.11,14.58,25.47,17.01,8.46,22.38,2.61,4.62,1.22,3.4,2.98,4.32,1.77,2.54
5/22/1981,Kathmandu,27.7,85.3,2.3,83.69,11.16,57.93,21.56,12.5,27.95,15.45,12.49,23.24,2.33,4.51,0.84,3.68,2.62,4.09,0.93,3.16
